Old Table Name	New Table Name	Migration Type / Mapping	Detailed Notes on Migration / Field Changes
input_history	inv_transaction	PARTIAL	Rows migrated as 'IN' transactions in inv_transaction. Field mapping: "ID" not preserved, "User" → "User", "Part ID" → "PartID", "Location" → "Location", "Type" → "ItemType", "Quantity" → "Quantity", "Time" → "DateTime". "Operation" in new table left NULL for these rows. Item types may be standardized.
input_history_backup	(NOT MIGRATED)	NONE	No corresponding backup table in new schema; replaced by robust transaction logging and standard database backups.
inventory_balance	inv_inventory	DIRECT	Each balance row migrated to inv_inventory. Field mapping: "ID" → "ID", "Part ID" → "PartID", "Location" → "Location", "Op" → "Operation", "Quantity" → "Quantity", "Type" → "ItemType", "Last_Updated" → "LastUpdated". Defaults/types updated for compatibility (e.g., default 'WIP', datetime fields).
inventory_transactions	inv_transaction	DIRECT	Direct mapping of all transactions. "transaction_id" → "ID", "transaction_type" → "TransactionType", "item_number" → "PartID", "operation" → "Operation", "location_from" → "FromLocation", "location_to" → "ToLocation", "quantity" → "Quantity", "notes" → "Notes", "user_id" → "User", "timestamp" → "DateTime". Enum 'ADJUST' transactions may be mapped to custom handling or omitted.
items	md_part_ids	DIRECT	Item master data mapped: "item_id" → "ID", "item_number" → "Item Number", "description" omitted, "item_type" → "Type", "created_by" → "Issued By". "created_at" and "updated_at" not migrated; new schema only tracks issuer.
item_types	md_item_types	DIRECT	ID → "ID", "Type" → "Type", "Issued By" → "Issued By". "Date" from old table not preserved.
last_10_transactions	sys_last_10_transactions	PARTIAL	Functionality replaced by AFTER INSERT trigger on inv_transaction. "ID", "PartID", "Op" (as "Operation"), "Quantity" migrate; "DateTime" in new table auto-generated. Only the last 10 transactions per user are retained.
leads	(NOT MIGRATED)	NONE	Table not present in new schema; user role management is now via sys_roles/sys_user_roles.
locations	md_locations	DIRECT	ID → "ID", "Location" → "Location", "Issued By" → "Issued By". "Location" is now non-nullable.
operations	md_operation_numbers	PARTIAL	operation_id → "ID", "operation_code" → "Operation". "created_at" and "created_by" omitted in new schema.
operation_numbers	md_operation_numbers	DIRECT	ID → "ID", "Operation" → "Operation", "Issued By" → "Issued By". Redundant with operations, but both migrated for compatibility/master data.
output_history	inv_transaction	PARTIAL	Output actions migrated as 'OUT' transactions in inv_transaction. Field mapping similar to input_history: "User" → "User", "Part ID" → "PartID", "Location" → "Location", "Quantity" → "Quantity", "Time" → "DateTime". "Operation" and "ItemType" inferred or left to default.
part_ids	md_part_ids	DIRECT	ID → "ID", "Item Number" → "Item Number", "Issued By" → "Issued By", "Type" → "Type". Direct mapping of part master data.
part_requirement	(NOT MIGRATED)	NONE	No direct equivalent; requirement/BOM management not present in new schema.
program_information	log_changelog	PARTIAL	Version information migrated. "Version" → "Version", "ID" omitted, "Notes" mapped as change log text. One-to-one only if version exists in both.
readonly	(NOT MIGRATED)	NONE	Read-only access now controlled by sys_roles/sys_user_roles; table not migrated.
remove_history	inv_transaction	PARTIAL	Removal actions migrated as 'OUT' or 'TRANSFER' transactions in inv_transaction, depending on context. "User" → "User", "Part ID" → "PartID", "Location" → "Location", "Type" → "ItemType", "Quantity" → "Quantity", "Time" → "DateTime".
saved_locations	inv_inventory	PARTIAL	Some location and quantity data may be merged into inv_inventory if relevant; most detailed user-specific or note fields are not migrated. Not a direct one-to-one mapping.
saved_variables	(NOT MIGRATED)	NONE	No global variable storage in new schema; application config/state handled elsewhere.
transfer_history	inv_transaction	PARTIAL	Transfers mapped as 'TRANSFER' transactions in inv_transaction. "Id" → "ID", "OldLocation" → "FromLocation", "NewLocation" → "ToLocation", "PartId" → "PartID", "Quantity" → "Quantity", "User" → "User", "PartType" → "ItemType", "Time" → "DateTime".
users	usr_users	DIRECT	User data migrated, with expanded and standardized fields. "ID", "User", "Full Name", "Shift", "VitsUser", "Pin", "HideChangeLog", "LastShownVersion", "Theme_Name", "Theme_FontSize", "VisualUserName", "VisualPassword", "WipServerAddress", "WipServerPort" all map directly. "Full Name" can now be nullable.
wipapp_errorlog	log_error	PARTIAL	Error logs migrated and expanded. "ID" → "ID", "Method" → "MethodName", "Error" → "ErrorMessage", "User" → "User", "DateTime" → "ErrorTime", "Control" → "ModuleName". New schema adds fields: "Severity", "ErrorType", "StackTrace", etc.
wipapp_version_history	log_changelog	PARTIAL	Version and notes from wipapp_version_history mapped to log_changelog. "ID" omitted, "Version" → "Version", "Notes" → "Notes".
